Fecha,DV,VV
2026-04-29 23:30:00,357.0,3.4
2026-04-29 23:40:00,0.0,3.5
2026-04-29 23:50:00,359.0,3.3
2026-04-30 00:00:00,284.0,3.4
2026-04-30 00:10:00,0.0,4.3
2026-04-30 00:20:00,339.0,3.4
2026-04-30 00:30:00,4.0,3.8
2026-04-30 00:40:00,349.0,3.7
2026-04-30 00:50:00,341.0,3.4
2026-04-30 01:00:00,340.0,3.5
2026-04-30 01:10:00,312.0,3.7
2026-04-30 01:20:00,349.0,3.8
2026-04-30 01:30:00,352.0,3.5
2026-04-30 01:40:00,338.0,3.7
2026-04-30 01:50:00,319.0,4.1
2026-04-30 02:00:00,335.0,4.0
2026-04-30 02:10:00,311.0,4.0
2026-04-30 02:20:00,318.0,3.9
2026-04-30 02:30:00,328.0,4.0
2026-04-30 02:40:00,319.0,3.6
2026-04-30 02:50:00,299.0,4.1
2026-04-30 03:00:00,310.0,4.5
2026-04-30 03:10:00,343.0,3.7
2026-04-30 03:20:00,293.0,3.5
2026-04-30 03:30:00,313.0,4.2
2026-04-30 03:40:00,332.0,4.4
2026-04-30 03:50:00,346.0,4.1
2026-04-30 04:00:00,326.0,4.2
2026-04-30 04:10:00,325.0,4.4
2026-04-30 04:20:00,306.0,3.9
2026-04-30 04:30:00,324.0,4.6
2026-04-30 04:40:00,309.0,4.8
2026-04-30 04:50:00,328.0,3.9
2026-04-30 05:00:00,345.0,4.5
2026-04-30 05:10:00,354.0,4.5
2026-04-30 05:20:00,340.0,4.5
2026-04-30 05:30:00,336.0,4.2
2026-04-30 05:40:00,359.0,4.1
2026-04-30 05:50:00,328.0,4.1
2026-04-30 06:00:00,336.0,4.4
2026-04-30 06:10:00,326.0,4.1
2026-04-30 06:20:00,333.0,4.3
2026-04-30 06:30:00,312.0,3.7
2026-04-30 06:40:00,330.0,3.8
2026-04-30 06:50:00,338.0,4.0
2026-04-30 07:00:00,335.0,4.2
2026-04-30 07:10:00,307.0,3.6
2026-04-30 07:20:00,316.0,4.0
2026-04-30 07:30:00,323.0,4.2
2026-04-30 07:40:00,336.0,4.1
2026-04-30 07:50:00,313.0,4.3
2026-04-30 08:00:00,327.0,4.4
2026-04-30 08:10:00,333.0,5.0
2026-04-30 08:20:00,343.0,4.8
2026-04-30 08:30:00,335.0,4.9
2026-04-30 08:40:00,326.0,4.3
2026-04-30 08:50:00,329.0,5.0
2026-04-30 09:00:00,328.0,4.2
2026-04-30 09:10:00,320.0,4.2
2026-04-30 09:20:00,332.0,4.8
2026-04-30 09:30:00,308.0,4.7
2026-04-30 09:40:00,329.0,4.1
2026-04-30 09:50:00,320.0,4.8
2026-04-30 10:00:00,313.0,4.9
2026-04-30 10:10:00,313.0,4.9
2026-04-30 10:20:00,317.0,4.8
2026-04-30 10:30:00,321.0,5.0
2026-04-30 10:40:00,327.0,4.7
2026-04-30 10:50:00,306.0,5.0
2026-04-30 11:00:00,314.0,5.5
2026-04-30 11:10:00,300.0,4.6
2026-04-30 11:20:00,319.0,5.3
2026-04-30 11:30:00,305.0,5.2
2026-04-30 11:40:00,314.0,5.4
2026-04-30 11:50:00,308.0,5.2
2026-04-30 12:00:00,309.0,5.4
2026-04-30 12:10:00,306.0,4.7
2026-04-30 12:20:00,304.0,5.9
2026-04-30 12:30:00,312.0,5.4
2026-04-30 12:40:00,308.0,5.8
2026-04-30 12:50:00,314.0,5.7
2026-04-30 13:00:00,329.0,6.1
2026-04-30 13:10:00,317.0,5.2
2026-04-30 13:20:00,312.0,6.0
2026-04-30 13:30:00,316.0,5.8
2026-04-30 13:40:00,311.0,6.0
2026-04-30 13:50:00,315.0,6.4
2026-04-30 14:00:00,320.0,5.8
2026-04-30 14:10:00,314.0,6.5
2026-04-30 14:20:00,317.0,6.1
2026-04-30 14:30:00,316.0,6.7
2026-04-30 14:40:00,321.0,5.7
2026-04-30 14:50:00,334.0,5.7
2026-04-30 15:00:00,333.0,5.2
2026-04-30 15:10:00,317.0,6.0
2026-04-30 15:20:00,325.0,5.5
2026-04-30 15:30:00,310.0,5.6
2026-04-30 15:40:00,316.0,5.5
2026-04-30 15:50:00,318.0,5.7
2026-04-30 16:00:00,321.0,5.5
2026-04-30 16:10:00,318.0,5.7
2026-04-30 16:20:00,318.0,5.5
2026-04-30 16:30:00,311.0,5.4
2026-04-30 16:40:00,314.0,5.4
